X-Index,Y-Index,X-Offset,Y-Offset,COMA-TEMPERATURE,sigma-COMA-TEMPERATURE,COMA-CH4[CH4],sigma-COMA-CH4[CH4]
25,17,-0.3999963424717849,-0.7999926849435699,46.716,2.7179,1.1696,0.051098
25,18,-0.3999963424717849,-0.6999935993256237,44.832,2.8648,1.235,0.062878
25,19,-0.3999963424717849,-0.5999945137076774,44.213,2.7766,1.1956,0.063855
25,20,-0.3999963424717849,-0.4999954280897312,41.806,2.3413,1.1427,0.053812
25,21,-0.3999963424717849,-0.3999963424717849,41.72,2.1871,1.1313,0.051107
25,22,-0.3999963424717849,-0.2999972568538387,45.247,1.8647,1.2345,0.041124
25,23,-0.3999963424717849,-0.1999981712358924,47.494,2.6339,1.2633,0.055194
25,24,-0.3999963424717849,-0.0999990856179462,45.458,1.9237,1.1587,0.037529
25,25,-0.3999963424717849,0.0,46.711,2.3013,1.1115,0.041952
25,26,-0.3999963424717849,0.0999990856179462,52.985,3.0912,1.0628,0.041828
25,27,-0.3999963424717849,0.1999981712358924,48.439,6.3407,1.1416,0.058375
25,28,-0.3999963424717849,0.2999972568538387,46.599,3.0348,1.3056,0.066032
25,29,-0.3999963424717849,0.3999963424717849,43.652,2.1524,1.2369,0.050895
25,30,-0.3999963424717849,0.4999954280897312,44.685,2.8541,1.2109,0.0679
25,31,-0.3999963424717849,0.5999945137076774,41.486,3.8815,1.197,0.060888
25,32,-0.3999963424717849,0.6999935993256237,42.542,4.7994,1.2444,0.065708
26,17,-0.2999972568538387,-0.7999926849435699,41.968,2.0312,1.304,0.055085
26,18,-0.2999972568538387,-0.6999935993256237,40.262,1.987,1.275,0.055349
26,19,-0.2999972568538387,-0.5999945137076774,41.223,0.97343,1.2575,0.07043
26,20,-0.2999972568538387,-0.4999954280897312,43.559,2.3554,1.1932,0.052514
26,21,-0.2999972568538387,-0.3999963424717849,46.019,0.53863,1.1425,0.03471
26,22,-0.2999972568538387,-0.2999972568538387,42.49,0.99864,1.2445,0.070966
26,23,-0.2999972568538387,-0.1999981712358924,44.716,2.6654,1.2605,0.060681
26,24,-0.2999972568538387,-0.0999990856179462,45.507,4.2752,1.1341,0.04839
26,25,-0.2999972568538387,0.0,45.466,4.1447,1.0787,0.043442
26,26,-0.2999972568538387,0.0999990856179462,47.567,2.4763,1.207,0.046399
26,27,-0.2999972568538387,0.1999981712358924,46.591,2.4666,1.1908,0.051791
26,28,-0.2999972568538387,0.2999972568538387,46.356,2.3723,1.2057,0.049575
26,29,-0.2999972568538387,0.3999963424717849,46.458,5.007,1.2329,0.057877
26,30,-0.2999972568538387,0.4999954280897312,43.666,2.0094,1.1822,0.045679
26,31,-0.2999972568538387,0.5999945137076774,42.286,1.6114,1.207,0.04249
26,32,-0.2999972568538387,0.6999935993256237,43.353,1.9208,1.2885,0.049011
27,17,-0.1999981712358924,-0.7999926849435699,40.053,2.183,1.2995,0.062497
27,18,-0.1999981712358924,-0.6999935993256237,44.57,7.7373,1.3353,0.099924
27,19,-0.1999981712358924,-0.5999945137076774,43.66,2.721,1.2438,0.061928
27,20,-0.1999981712358924,-0.4999954280897312,42.633,1.9098,1.2103,0.045777
27,21,-0.1999981712358924,-0.3999963424717849,43.169,1.5807,1.2336,0.037416
27,22,-0.1999981712358924,-0.2999972568538387,41.563,2.1403,1.2477,0.056494
27,23,-0.1999981712358924,-0.1999981712358924,41.018,2.3225,1.2037,0.05798
27,24,-0.1999981712358924,-0.0999990856179462,42.518,1.7808,1.1989,0.040223
27,25,-0.1999981712358924,0.0,49.229,2.3077,1.2274,0.042814
27,26,-0.1999981712358924,0.0999990856179462,45.486,0.96027,1.2366,0.037698
27,27,-0.1999981712358924,0.1999981712358924,43.882,2.2709,1.2356,0.053406
27,28,-0.1999981712358924,0.2999972568538387,48.456,0.65523,1.1464,0.048288
27,29,-0.1999981712358924,0.3999963424717849,46.453,5.9376,1.2289,0.068154
27,30,-0.1999981712358924,0.4999954280897312,41.896,1.8739,1.2508,0.048753
27,31,-0.1999981712358924,0.5999945137076774,45.253,2.3667,1.1612,0.048813
27,32,-0.1999981712358924,0.6999935993256237,44.655,2.5098,1.2207,0.054447
28,17,-0.0999990856179462,-0.7999926849435699,42.01,2.1955,1.4053,0.063643
28,18,-0.0999990856179462,-0.6999935993256237,42.587,2.9015,1.3789,0.083519
28,19,-0.0999990856179462,-0.5999945137076774,43.921,3.328,1.2107,0.07792
28,20,-0.0999990856179462,-0.4999954280897312,42.563,2.2791,1.1731,0.048918
28,21,-0.0999990856179462,-0.3999963424717849,40.796,2.3199,1.3702,0.068076
28,22,-0.0999990856179462,-0.2999972568538387,42.052,2.3146,1.3596,0.06563
28,23,-0.0999990856179462,-0.1999981712358924,41.492,2.2326,1.3048,0.047511
28,24,-0.0999990856179462,-0.0999990856179462,43.562,1.7057,1.2345,0.037664
28,25,-0.0999990856179462,0.0,48.818,2.2292,1.1051,0.035842
28,26,-0.0999990856179462,0.0999990856179462,45.789,2.1333,1.2109,0.044558
28,27,-0.0999990856179462,0.1999981712358924,44.028,1.6663,1.1802,0.03708
28,28,-0.0999990856179462,0.2999972568538387,43.029,1.6941,1.2353,0.040486
28,29,-0.0999990856179462,0.3999963424717849,43.479,3.4707,1.2202,0.052602
28,30,-0.0999990856179462,0.4999954280897312,41.497,3.5557,1.2029,0.060738
28,31,-0.0999990856179462,0.5999945137076774,41.682,2.1702,1.1761,0.052275
28,32,-0.0999990856179462,0.6999935993256237,42.622,1.4825,1.231,0.0085077
29,17,0.0,-0.7999926849435699,39.443,2.1842,1.3805,0.077198
29,18,0.0,-0.6999935993256237,41.101,2.6478,1.3946,0.077924
29,19,0.0,-0.5999945137076774,42.482,4.9607,1.2892,0.086025
29,20,0.0,-0.4999954280897312,41.289,2.2687,1.3057,0.06413
29,21,0.0,-0.3999963424717849,40.421,2.2203,1.3671,0.065712
29,22,0.0,-0.2999972568538387,41.65,2.2477,1.3137,0.060568
29,23,0.0,-0.1999981712358924,41.618,1.7157,1.309,0.04432
29,24,0.0,-0.0999990856179462,44.567,1.6875,1.2589,0.038794
29,25,0.0,0.0,45.499,0.98139,0.36871,0.020044
29,26,0.0,0.0999990856179462,46.738,1.9994,0.98847,0.032867
29,27,0.0,0.1999981712358924,44.621,1.8481,1.1082,0.036018
29,28,0.0,0.2999972568538387,42.47,1.6775,1.208,0.041879
29,29,0.0,0.3999963424717849,39.806,1.6182,1.1803,0.04159
29,30,0.0,0.4999954280897312,41.822,1.8623,1.2242,0.045088
29,31,0.0,0.5999945137076774,43.475,4.0038,1.2415,0.055616
29,32,0.0,0.6999935993256237,46.454,5.2251,1.242,0.054289
30,17,0.0999990856179462,-0.7999926849435699,41.082,2.3871,1.3695,0.07644
30,18,0.0999990856179462,-0.6999935993256237,41.717,5.8955,1.3629,0.10496
30,19,0.0999990856179462,-0.5999945137076774,42.387,2.2244,1.264,0.059362
30,20,0.0999990856179462,-0.4999954280897312,42.482,6.4363,1.3311,0.095813
30,21,0.0999990856179462,-0.3999963424717849,41.488,4.5315,1.3346,0.090737
30,22,0.0999990856179462,-0.2999972568538387,41.43,2.8769,1.3521,0.062359
30,23,0.0999990856179462,-0.1999981712358924,43.043,1.6811,1.2927,0.039804
30,24,0.0999990856179462,-0.0999990856179462,47.351,2.1258,1.2024,0.041638
30,25,0.0999990856179462,0.0,45.84,3.0404,1.1451,0.060117
30,26,0.0999990856179462,0.0999990856179462,43.401,1.9187,0.93779,0.033326
30,27,0.0999990856179462,0.1999981712358924,41.593,1.8181,1.0562,0.038863
30,28,0.0999990856179462,0.2999972568538387,43.479,3.1291,1.1479,0.048606
30,29,0.0999990856179462,0.3999963424717849,42.55,1.8675,1.2062,0.044516
30,30,0.0999990856179462,0.4999954280897312,42.623,1.9585,1.2783,0.048425
30,31,0.0999990856179462,0.5999945137076774,41.785,2.2151,1.3095,0.059152
30,32,0.0999990856179462,0.6999935993256237,48.434,11.174,1.2238,0.081511
31,17,0.1999981712358924,-0.7999926849435699,42.13,2.9285,1.4962,0.096314
31,18,0.1999981712358924,-0.6999935993256237,44.018,2.9758,1.3557,0.076246
31,19,0.1999981712358924,-0.5999945137076774,41.981,1.9027,1.3016,0.051246
31,20,0.1999981712358924,-0.4999954280897312,42.287,2.0643,1.2686,0.052991
31,21,0.1999981712358924,-0.3999963424717849,42.646,2.5065,1.2035,0.059229
31,22,0.1999981712358924,-0.2999972568538387,43.579,5.6469,1.2555,0.077345
31,23,0.1999981712358924,-0.1999981712358924,41.983,2.0784,1.1682,0.049624
31,24,0.1999981712358924,-0.0999990856179462,44.67,2.1562,1.1554,0.043491
31,25,0.1999981712358924,0.0,44.303,0.92962,1.1132,0.033439
31,26,0.1999981712358924,0.0999990856179462,43.019,1.9033,1.0877,0.041167
31,27,0.1999981712358924,0.1999981712358924,41.839,1.7468,1.0935,0.039596
31,28,0.1999981712358924,0.2999972568538387,42.168,1.5874,1.1428,0.036509
31,29,0.1999981712358924,0.3999963424717849,42.608,2.2448,1.1219,0.049721
31,30,0.1999981712358924,0.4999954280897312,43.435,2.2784,1.2228,0.056641
31,31,0.1999981712358924,0.5999945137076774,45.359,2.0291,1.2647,0.04779
31,32,0.1999981712358924,0.6999935993256237,45.951,2.8066,1.2644,0.060738
32,17,0.2999972568538387,-0.7999926849435699,43.525,2.4803,1.3577,0.068473
32,18,0.2999972568538387,-0.6999935993256237,44.711,3.1096,1.3132,0.07703
32,19,0.2999972568538387,-0.5999945137076774,44.5,7.4522,1.249,0.088399
32,20,0.2999972568538387,-0.4999954280897312,42.562,7.8426,1.2207,0.10845
32,21,0.2999972568538387,-0.3999963424717849,43.2,2.5268,1.2234,0.061182
32,22,0.2999972568538387,-0.2999972568538387,43.69,2.0431,1.1699,0.044407
32,23,0.2999972568538387,-0.1999981712358924,45.463,4.1096,1.1508,0.046839
32,24,0.2999972568538387,-0.0999990856179462,44.473,3.0599,1.1735,0.04249
32,25,0.2999972568538387,0.0,43.601,1.5055,1.1832,0.032975
32,26,0.2999972568538387,0.0999990856179462,43.78,2.0949,1.0578,0.040869
32,27,0.2999972568538387,0.1999981712358924,41.681,2.1241,1.0131,0.044352
32,28,0.2999972568538387,0.2999972568538387,44.471,3.697,1.0951,0.046704
32,29,0.2999972568538387,0.3999963424717849,45.156,2.3014,1.1586,0.04808
32,30,0.2999972568538387,0.4999954280897312,43.475,5.9799,1.1818,0.075167
32,31,0.2999972568538387,0.5999945137076774,42.605,2.9432,1.2301,0.071416
32,32,0.2999972568538387,0.6999935993256237,46.448,11.284,1.3323,0.11148
33,17,0.3999963424717849,-0.7999926849435699,42.48,9.9315,1.2193,0.12514
33,18,0.3999963424717849,-0.6999935993256237,44.464,6.2809,1.279,0.078976
33,19,0.3999963424717849,-0.5999945137076774,44.579,5.3678,1.2624,0.067827
33,20,0.3999963424717849,-0.4999954280897312,42.343,2.6432,1.1793,0.066693
33,21,0.3999963424717849,-0.3999963424717849,41.455,2.546,1.1918,0.060293
33,22,0.3999963424717849,-0.2999972568538387,46.312,2.8271,1.1052,0.051905
33,23,0.3999963424717849,-0.1999981712358924,44.99,2.7653,1.168,0.054266
33,24,0.3999963424717849,-0.0999990856179462,43.874,1.9092,1.1373,0.039937
33,25,0.3999963424717849,0.0,45.23,1.8504,1.1372,0.038349
33,26,0.3999963424717849,0.0999990856179462,45.449,2.0815,1.1112,0.041423
33,27,0.3999963424717849,0.1999981712358924,44.909,2.4831,1.0836,0.045538
33,28,0.3999963424717849,0.2999972568538387,46.462,0.54195,1.1095,0.06929
33,29,0.3999963424717849,0.3999963424717849,44.469,6.3189,1.1287,0.067738
33,30,0.3999963424717849,0.4999954280897312,43.656,2.1827,1.1223,0.045817
33,31,0.3999963424717849,0.5999945137076774,41.486,4.2517,1.1634,0.064654
33,32,0.3999963424717849,0.6999935993256237,41.487,4.9041,1.305,0.084539
34,17,0.4999954280897312,-0.7999926849435699,44.36,4.213,1.2142,0.07742
34,18,0.4999954280897312,-0.6999935993256237,44.841,2.9405,1.2373,0.064743
34,19,0.4999954280897312,-0.5999945137076774,43.222,2.1714,1.3224,0.058637
34,20,0.4999954280897312,-0.4999954280897312,41.634,6.6706,1.326,0.11011
34,21,0.4999954280897312,-0.3999963424717849,41.915,2.7787,1.1724,0.061605
34,22,0.4999954280897312,-0.2999972568538387,45.524,2.9296,1.0935,0.055747
34,23,0.4999954280897312,-0.1999981712358924,43.927,0.79686,1.1473,0.053233
34,24,0.4999954280897312,-0.0999990856179462,43.227,1.8984,1.1527,0.041935
34,25,0.4999954280897312,0.0,47.126,2.8154,1.1366,0.04846
34,26,0.4999954280897312,0.0999990856179462,45.431,2.1506,1.1121,0.042514
34,27,0.4999954280897312,0.1999981712358924,45.461,5.562,1.0968,0.055566
34,28,0.4999954280897312,0.2999972568538387,44.368,2.9401,1.0474,0.051253
34,29,0.4999954280897312,0.3999963424717849,48.43,2.8707,1.1561,0.052651
34,30,0.4999954280897312,0.4999954280897312,51.5,0.90947,1.1988,0.060249
34,31,0.4999954280897312,0.5999945137076774,43.158,3.2296,1.1892,0.072261
34,32,0.4999954280897312,0.6999935993256237,41.186,2.0425,1.3533,0.058557
35,17,0.5999945137076774,-0.7999926849435699,48.48,0.64166,1.1666,0.095049
35,18,0.5999945137076774,-0.6999935993256237,45.6,0.94388,1.2271,0.063391
35,19,0.5999945137076774,-0.5999945137076774,42.133,2.6724,1.3096,0.074063
35,20,0.5999945137076774,-0.4999954280897312,44.632,3.2948,1.2377,0.071041
35,21,0.5999945137076774,-0.3999963424717849,43.623,2.6733,1.1201,0.054342
35,22,0.5999945137076774,-0.2999972568538387,42.98,3.0216,1.1013,0.024121
35,23,0.5999945137076774,-0.1999981712358924,42.333,2.2191,1.1306,0.048355
35,24,0.5999945137076774,-0.0999990856179462,47.136,2.1522,1.1668,0.042226
35,25,0.5999945137076774,0.0,45.464,4.4198,1.1414,0.049214
35,26,0.5999945137076774,0.0999990856179462,44.441,2.366,1.1346,0.050005
35,27,0.5999945137076774,0.1999981712358924,46.462,7.9202,1.1782,0.074917
35,28,0.5999945137076774,0.2999972568538387,47.143,3.8521,1.0181,0.062601
35,29,0.5999945137076774,0.3999963424717849,49.487,0.5282,1.12,0.070683
35,30,0.5999945137076774,0.4999954280897312,44.687,2.6431,1.2365,0.059403
35,31,0.5999945137076774,0.5999945137076774,43.409,2.709,1.213,0.061549
35,32,0.5999945137076774,0.6999935993256237,45.483,3.1199,1.2092,0.064174
36,17,0.6999935993256237,-0.7999926849435699,45.299,0.73101,1.1555,0.062552
36,18,0.6999935993256237,-0.6999935993256237,42.636,3.1021,1.2166,0.077173
36,19,0.6999935993256237,-0.5999945137076774,43.401,3.66,1.2645,0.090293
36,20,0.6999935993256237,-0.4999954280897312,44.461,17.35,1.0539,0.12622
36,21,0.6999935993256237,-0.3999963424717849,45.683,3.563,1.1517,0.068857
36,22,0.6999935993256237,-0.2999972568538387,44.465,6.868,1.1672,0.075347
36,23,0.6999935993256237,-0.1999981712358924,44.012,3.0684,1.1518,0.064092
36,24,0.6999935993256237,-0.0999990856179462,46.453,2.6943,1.142,0.045278
36,25,0.6999935993256237,0.0,43.749,2.5203,1.1379,0.055214
36,26,0.6999935993256237,0.0999990856179462,44.396,2.1062,1.2234,0.048232
36,27,0.6999935993256237,0.1999981712358924,42.482,4.6103,1.1787,0.059966
36,28,0.6999935993256237,0.2999972568538387,43.473,6.878,1.052,0.068362
36,29,0.6999935993256237,0.3999963424717849,47.435,8.6104,1.1803,0.07302
36,30,0.6999935993256237,0.4999954280897312,45.456,10.28,1.2243,0.10071
36,31,0.6999935993256237,0.5999945137076774,47.437,19.493,1.0413,0.098815
36,32,0.6999935993256237,0.6999935993256237,46.444,15.614,1.076,0.095947
